id,Sentence,NER Tag
18,"['Doctors', 'say', 'they', 'expect', 'Mr.', 'Sharon', 'will', 'make', 'a', 'full', 'recovery', '.']","['O', 'O', 'O', 'O', 'B-per', 'I-per', 'O', 'O', 'O', 'O', 'O', 'O']"
19,"['Mr.', 'Sharon', 'returned', 'to', 'work', 'on', 'December', '25', ',', 'one', 'week', 'after', 'his', 'emergency', 'hospitalization', '.']","['B-per', 'I-per', 'O', 'O', 'O', 'O', 'B-tim', 'I-tim', 'O', 'B-tim', 'O', 'O', 'O', 'O', 'O', 'O']"
20,"['Doctors', 'say', 'the', 'stroke', 'has', 'not', 'caused', 'any', 'permanent', 'damage', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
21,"['The', 'designers', 'of', 'the', 'first', 'private', 'manned', 'rocket', 'to', 'burst', 'into', 'space', 'have', 'received', 'a', '$', '10', 'million', 'prize', 'created', 'to', 'promote', 'space', 'tourism', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
22,"['SpaceShipOne', 'designer', 'Burt', 'Rutan', 'accepted', 'the', 'Ansari', 'X', 'Prize', 'money', 'and', 'a', 'trophy', 'on', 'behalf', 'of', 'his', 'team', 'Saturday', 'during', 'an', 'awards', 'ceremony', 'in', 'the', 'U.S.', 'state', 'of', 'Missouri', '.']","['B-art', 'O', 'B-per', 'I-per', 'O', 'O', 'B-art', 'I-art', 'I-art', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-tim', 'O', 'O', 'O', 'O', 'O', 'O', 'B-geo', 'O', 'O', 'B-geo', 'O']"
23,"['To', 'win', 'the', 'money', ',', 'SpaceShipOne', 'had', 'to', 'blast', 'off', 'into', 'space', 'twice', 'in', 'a', 'two-week', 'period', 'and', 'fly', 'at', 'least', '100', 'kilometers', 'above', 'Earth', '.']","['O', 'O', 'O', 'O', 'O', 'B-art', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-tim', 'I-tim', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-geo', 'O']"
24,"['The', 'spacecraft', 'made', 'its', 'flights', 'in', 'late', 'September', 'and', 'early', 'October', ',', 'lifting', 'off', 'from', 'California', ""'s"", 'Mojave', 'desert', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-tim', 'O', 'O', 'B-tim', 'O', 'O', 'O', 'O', 'B-geo', 'O', 'B-geo', 'O', 'O']"
25,"['Three', 'major', 'banks', 'have', 'collapsed', ',', 'unemployment', 'has', 'soared', ',', 'and', 'the', 'value', 'of', 'the', 'krona', 'has', 'plunged', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
26,"['The', 'vehicle', 'had', 'to', 'carry', 'a', 'pilot', 'and', 'weight', 'equivalent', 'to', 'two', 'passengers', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
27,"['SpaceShipOne', 'was', 'financed', 'with', 'more', 'than', '$', '20', 'million', 'from', 'Paul', 'Allen', ',', 'a', 'co-founder', 'of', 'the', 'Microsoft', 'Corporation', '.']","['B-art', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-per', 'I-per', 'O', 'O', 'O', 'O', 'O', 'B-org', 'I-org', 'O']"
28,"['North', 'Korea', 'says', 'flooding', 'caused', 'by', 'last', 'week', ""'s"", 'typhoon', ',', 'Wipha', ',', 'has', 'destroyed', '14,000', 'homes', 'and', '1,09,000', 'hectares', 'of', 'crops', '.']","['B-geo', 'I-geo', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-per', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
29,"['The', 'state', 'news', 'agency', 'KCNA', 'reported', 'the', 'damage', 'Monday', '.']","['O', 'O', 'O', 'O', 'B-org', 'O', 'O', 'O', 'B-tim', 'O']"
30,"['It', 'says', 'the', 'floods', 'also', 'destroyed', 'or', 'damaged', '8,000', 'public', 'buildings', 'and', 'washed', 'out', 'roads', ',', 'bridges', 'and', 'railways', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
31,"['The', 'report', 'did', 'not', 'mention', 'any', 'deaths', 'or', 'injuries', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
32,"['Most', 'of', 'the', 'heavy', 'rains', 'and', 'flooding', 'occurred', 'in', 'the', 'southwestern', 'part', 'of', 'the', 'country', ',', 'including', 'the', 'capital', ',', 'Pyongyang', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-geo', 'O']"
33,"['Last', 'month', ',', 'severe', 'flooding', 'in', 'North', 'Korea', 'left', '600', 'people', 'dead', 'or', 'missing', ',', 'and', 'displaced', 'more', 'than', '1,00,000', 'others', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'B-geo', 'I-geo', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
34,"['A', 'strong', 'earthquake', 'under', 'the', 'ocean', 'off', 'Indonesia', ""'s"", 'Sumatra', 'and', 'Nias', 'islands', 'has', 'caused', 'some', 'panic', 'but', 'no', 'damage', 'or', 'injuries', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-org', 'I-org', 'I-org', 'I-org', 'I-org', 'I-org', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
35,"['The', 'U.S.', 'Geological', 'Survey', 'gave', 'a', 'preliminary', 'estimate', 'of', 'the', 'strength', 'of', 'the', 'Tuesday', 'morning', 'quake', 'at', '6.7', 'on', 'the', 'Richter', 'scale', ',', 'and', 'said', 'the', 'epicenter', 'was', 'close', 'to', 'the', 'island', 'of', 'Nias', '.']","['O', 'B-org', 'I-org', 'I-org', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-tim', 'I-tim', 'O', 'O', 'O', 'O', 'O', 'B-geo', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-org', 'O']"
36,"['Prime', 'Minister', 'Geir', 'Haarde', 'has', 'refused', 'to', 'resign', 'or', 'call', 'for', 'early', 'elections', '.']","['O', 'O', 'B-per', 'I-per', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
37,"['The', 'quake', 'did', 'not', 'cause', 'a', 'tsunami', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
38,"['An', 'earthquake', 'in', 'late', 'March', 'killed', 'more', 'than', '900', 'people', 'on', 'Nias', '.']","['O', 'O', 'O', 'O', 'B-tim', 'O', 'O', 'O', 'O', 'O', 'O', 'B-org', 'O']"
39,"['Both', 'Sumatra', 'and', 'Nias', 'have', 'experienced', 'countless', 'earthquakes', 'since', 'a', 'massive', 'tsunami-producing', 'quake', 'on', 'December', '26', '.']","['O', 'B-org', 'O', 'B-org', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-tim', 'I-tim', 'O']"
40,"['The', 'latest', 'official', 'death', 'toll', 'from', 'that', 'tragedy', 'stands', 'at', 'some', '1,76,000', 'people', 'killed', '-', '1,28,000', 'of', 'them', 'in', 'Indonesia', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-geo', 'O']"
41,"['Nearly', '50,000', 'people', 'are', 'still', 'listed', 'as', 'missing', ',', 'but', 'most', 'of', 'them', 'are', 'feared', 'dead', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
42,"['The', 'U.S.', 'rap', 'star', 'Snoop', 'Dogg', 'and', 'five', 'of', 'his', 'associates', 'have', 'been', 'arrested', 'in', 'Britain', 'after', 'a', 'disturbance', 'at', 'London', ""'s"", 'Heathrow', 'Airport', '.']","['O', 'B-geo', 'O', 'O', 'B-per', 'I-per', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-geo', 'O', 'O', 'O', 'O', 'B-geo', 'O', 'B-geo', 'I-geo', 'O']"
43,"['Police', 'told', 'British', 'media', 'that', 'the', 'musician', ',', 'who', 'was', 'born', 'with', 'the', 'name', 'Calvin', 'Broadus', ',', 'and', 'members', 'of', 'his', 'entourage', 'were', 'being', 'held', 'on', 'charges', 'of', '""', 'violent', 'disorder', 'and', 'affray', '.', '""']","['O', 'O', 'B-gpe', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-per', 'I-per', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
44,"['The', 'group', 'was', 'waiting', 'for', 'a', 'flight', 'to', 'South', 'Africa', ',', 'where', 'Snoop', 'Dogg', 'was', 'to', 'perform', 'in', 'a', 'concert', 'Thursday', ',', 'when', 'it', 'was', 'denied', 'access', 'to', 'a', 'first-class', 'lounge', 'at', 'the', 'airport', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-geo', 'I-geo', 'O', 'O', 'B-per', 'I-per', 'O', 'O', 'O', 'O', 'O', 'O', 'B-tim', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
45,"['Police', 'said', 'members', 'of', 'the', 'group', 'later', 'threw', 'bottles', 'of', 'whisky', 'in', 'a', 'duty-free', 'store', 'and', 'scuffled', 'with', 'police', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
46,"['Snoop', 'Dogg', 'is', 'a', 'former', 'member', 'of', 'a', 'street', 'gang', 'the', 'Crips', ',', 'from', 'Southern', 'California', ',', 'and', 'many', 'of', 'his', 'songs', 'reflect', 'the', 'gritty', 'life', 'on', 'the', 'streets', '.']","['B-per', 'I-per', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-org', 'O', 'O', 'B-geo', 'I-geo', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
47,"['He', 'blames', 'Iceland', ""'s"", 'economic', 'calamity', 'on', 'commercial', 'bankers', '.']","['O', 'O', 'B-org', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
48,"['Afghan', 'President', 'Hamid', 'Karzai', 'says', 'he', 'has', 'fired', 'two', '""', 'high-ranking', '""', 'Afghan', 'officials', 'who', 'were', 'spying', 'for', 'other', 'countries', ',', 'and', 'warns', 'he', 'would', 'not', 'spare', 'anyone', 'who', 'engages', 'in', 'such', 'activity', '.']","['B-gpe', 'B-per', 'I-per', 'I-per', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-gpe', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
49,"['Mr.', 'Karzai', 'made', 'the', 'disclosure', 'at', 'a', 'lunch', 'meeting', 'with', 'newly', 'sworn-in', 'parliament', 'members', ',', 'and', 'did', 'not', 'name', 'the', 'dismissed', 'officials', 'nor', 'indicate', 'when', 'he', 'took', 'the', 'action', 'He', 'also', 'did', 'not', 'name', 'the', 'other', 'countries', 'involved', '.']","['B-per', 'I-per', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
50,"['Mr.', 'Karzai', 'said', 'he', 'had', 'strong', 'evidence', 'against', 'the', 'two', 'officials', '.']","['B-per', 'I-per', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
51,"['But', 'he', 'said', 'even', 'if', 'he', 'had', 'minor', 'evidence', ',', 'he', 'would', 'have', 'punished', 'them', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
52,"['He', 'said', 'anyone', 'found', 'spying', 'for', 'foreign', 'countries', 'will', 'be', 'shown', 'on', 'television', ',', 'and', 'put', 'on', 'trial', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
53,"['Mr.', 'Karzai', 'has', 'led', 'Afghanistan', 'since', 'the', 'Taleban', 'were', 'ousted', 'in', 'late', '2001', '.']","['B-per', 'I-per', 'O', 'O', 'B-gpe', 'O', 'O', 'B-org', 'O', 'O', 'O', 'O', 'B-tim', 'O']"
54,"['He', 'won', 'a', 'presidential', 'election', 'in', 'October', '2004', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'B-tim', 'I-tim', 'O']"
55,"['And', 'now', 'the', 'Taleban', 'are', 'waging', 'an', 'insurgency', 'against', 'his', 'administration', '.']","['O', 'O', 'O', 'B-org', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
56,"['For', 'the', 'last', 'four', 'weeks', 'a', 'team', 'led', 'by', 'former', 'UN', 'Secretary-General', 'Kofi', 'Annan', 'has', 'been', 'trying', 'to', 'broker', 'a', 'deal', 'between', 'the', 'Kenyan', 'government', 'of', 'President', 'Mwai', 'Kibaki', 'and', 'the', 'opposition', 'led', 'by', 'Raila', 'Odinga', '.']","['O', 'O', 'O', 'B-tim', 'O', 'O', 'O', 'O', 'O', 'O', 'B-org', 'I-org', 'B-per', 'I-per', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-gpe', 'O', 'O', 'B-per', 'I-per', 'I-per', 'O', 'O', 'O', 'O', 'O', 'B-org', 'I-org', 'O']"
57,"['The', 'negotiations', 'have', 'concentrated', 'on', 'a', 'power', 'sharing', 'agreement', 'and', 'a', 'transitional', 'arrangement', 'leading', 'to', 'new', 'elections', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
58,"['The', 'government', 'was', 'forced', 'to', 'ask', 'the', 'International', 'Monetary', 'Fund', 'and', 'several', 'countries', 'for', 'a', 'multi-billion-dollar', 'loan', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-org', 'I-org', 'I-org', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
59,"['A', 'recent', 'report', 'by', 'the', 'international', 'crisis', 'group', 'says', 'three', 'complimentary', 'sets', 'of', 'issues', 'must', 'be', 'addressed', 'to', 'finalize', 'a', 'detailed', 'power', 'sharing', 'agreement', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
60,"['Francois', 'Grignon', 'is', 'director', 'of', 'the', 'Africa', 'program', 'of', 'the', 'ICG', '.']","['B-per', 'I-per', 'O', 'O', 'O', 'O', 'B-geo', 'O', 'O', 'O', 'B-org', 'O']"
61,"['In', 'a', 'telephone', 'interview', 'to', 'discuss', 'the', 'issues', 'at', 'stake', ',', 'he', 'told', 'VOA', 'reporter', 'Akwei', 'Thompson', 'the', 'opposition', 'would', 'demonstrate', 'a', 'stronger', 'political', 'will', 'to', 'tackle', 'the', 'task', 'of', 'legal', 'and', 'constitutional', 'reform', 'needed', 'during', 'the', 'transition', 'period', 'because', '\x85', '\x94', 'the', 'electoral', 'dispute', 'left', 'them', 'out', ',', 'the', 'losers', '\x85', '.', '\x94']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-org', 'O', 'B-per', 'I-per', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
62,"['President', 'Bush', 'has', 'signed', 'legislation', 'that', 'will', 'require', 'screening', 'of', 'all', 'air', 'and', 'sea', 'cargo', ',', 'and', 'will', 'provide', 'more', 'money', 'to', 'cities', 'deemed', 'to', 'be', 'at', 'high', 'risk', 'of', 'a', 'terrorist', 'attack', '.']","['B-per', 'I-per', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
63,"['After', 'signing', 'the', 'bill', 'Friday', 'and', 'meeting', 'with', 'his', 'advisers', 'on', 'counter-terrorism', ',', 'Mr.', 'Bush', 'said', 'his', 'homeland', 'security', 'and', 'counter-terrorism', 'teams', 'are', 'doing', 'everything', 'they', 'can', 'to', 'protect', 'the', 'country', 'from', 'what', 'he', 'called', 'a', '""', 'dangerous', 'enemy', '.', '""']","['O', 'O', 'O', 'O', 'B-tim', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-per', 'I-per', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
64,"['The', 'new', 'measures', 'carry', 'out', 'some', 'recommendations', 'made', 'by', 'the', 'independent', 'commission', 'that', 'investigated', 'the', 'September', '11', ',', '2001', 'attacks', 'on', 'the', 'United', 'States', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-tim', 'I-tim', 'I-tim', 'I-tim', 'O', 'O', 'O', 'B-geo', 'I-geo', 'O']"
65,"['Those', 'include', 'a', 'grant', 'of', '$', '4', 'billion', 'to', 'be', 'given', 'to', 'high-risk', 'cities', 'to', 'upgrade', 'transit', 'security', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
